cell,time (min),A intensity (a.u.),B intensity (a.u.),C intensity (a.u.),X intensity (a.u.)
7,229.097,0.544,0.750,0.212,0.622
7,230.769,0.507,0.769,0.199,0.578
7,232.441,0.471,0.728,0.157,0.560
7,234.114,0.490,0.680,0.143,0.431
7,235.786,0.416,0.715,0.153,0.385
7,237.458,0.392,0.659,0.140,0.439
7,239.130,0.327,0.650,0.088,0.393
7,240.803,0.307,0.612,0.087,0.387
7,242.475,0.238,0.557,0.078,0.661
7,244.147,0.190,0.485,0.057,0.475
7,245.819,0.162,0.434,0.062,0.344
7,247.492,0.139,0.407,0.052,0.323
7,249.164,0.120,0.334,0.029,0.412
7,250.836,0.098,0.282,0.033,0.619
7,252.508,0.075,0.243,0.030,0.353
7,254.181,0.101,0.204,0.038,0.209
7,255.853,0.108,0.202,0.034,0.146
7,257.525,0.100,0.167,0.024,0.173
7,259.197,0.108,0.124,0.010,0.232
7,260.870,0.106,0.126,0.015,0.436
7,262.542,0.114,0.101,0.041,0.415
7,264.214,0.145,0.092,0.173,0.379
7,265.886,0.295,0.122,0.250,0.506
7,267.559,0.370,0.165,0.243,0.409
7,269.231,0.461,0.247,0.214,0.441
7,270.903,0.553,0.321,0.188,0.545
7,272.575,0.558,0.395,0.159,0.461
7,274.247,0.550,0.427,0.132,0.579
7,275.920,0.529,0.493,0.140,0.209
7,277.592,0.480,0.519,0.106,0.039
7,279.264,0.413,0.546,0.083,0.253
7,280.936,0.331,0.536,0.092,0.018
7,282.609,0.285,0.504,0.069,0.181
7,284.281,0.281,0.470,0.076,0.114
7,285.953,0.185,0.445,0.071,0.086
7,287.625,0.128,0.410,0.054,0.053
7,289.298,0.139,0.367,0.075,0.096
7,290.970,0.118,0.294,0.037,0.026
7,292.642,0.123,0.251,0.044,0.025
7,294.314,0.091,0.232,0.028,0.119
7,295.987,0.082,0.197,0.039,0.097
7,297.659,0.090,0.170,0.019,0.162
7,299.331,0.068,0.136,0.022,0.003
7,301.003,0.074,0.137,0.027,0.012
7,302.676,0.059,0.101,0.040,0.016
7,304.348,0.038,0.079,0.016,0.126
7,306.020,0.052,0.071,0.018,0.156
7,307.692,0.059,0.062,0.037,0.372
7,309.365,0.043,0.049,0.010,0.566
7,311.037,0.057,0.050,0.027,0.501
7,312.709,0.046,0.046,0.010,0.357
7,314.381,0.121,0.046,0.027,0.257
7,316.054,0.044,0.026,0.044,0.102
7,317.726,0.025,0.038,0.022,0.072
7,319.398,0.022,0.027,0.014,0.038
7,321.070,0.015,0.032,0.019,0.028
7,322.742,0.050,0.036,0.051,0.013
7,324.415,0.129,0.027,0.167,0.365
7,326.087,0.210,0.040,0.257,0.367
7,327.759,0.281,0.064,0.355,0.551
7,329.431,0.413,0.158,0.449,0.437
7,331.104,0.520,0.248,0.518,0.370
7,332.776,0.632,0.330,0.567,0.340
7,334.448,0.578,0.393,0.615,0.763
7,336.120,0.592,0.453,0.654,0.403
7,337.793,0.599,0.522,0.635,0.505
7,339.465,0.624,0.577,0.659,0.465
7,341.137,0.639,0.589,0.576,0.648
7,342.809,0.649,0.634,0.479,0.549
7,344.482,0.741,0.623,0.504,0.635
7,346.154,0.691,0.584,0.527,0.404
7,347.826,0.674,0.633,0.536,0.226
7,349.498,0.663,0.696,0.579,0.364
7,351.171,0.733,0.725,0.619,0.358
7,352.843,0.740,0.741,0.658,0.261
7,354.515,0.617,0.749,0.638,0.277
7,356.187,0.660,0.762,0.657,0.332
7,357.860,0.685,0.779,0.774,0.674
7,359.532,0.721,0.725,0.740,0.295
7,361.204,0.701,0.733,0.800,0.390
7,362.876,0.636,0.730,0.759,0.550
7,364.548,0.607,0.701,0.765,0.466
7,366.221,0.705,0.681,0.791,0.571
7,367.893,0.613,0.677,0.786,0.459
7,369.565,0.588,0.681,0.790,0.578
7,371.237,0.585,0.691,0.777,0.417
7,372.910,0.647,0.697,0.766,0.189
7,374.582,0.679,0.711,0.831,0.126
7,376.254,0.701,0.685,0.720,0.058
7,377.926,0.735,0.748,0.620,0.206
7,379.599,0.692,0.775,0.536,0.337
7,381.271,0.712,0.765,0.472,0.535
7,382.943,0.787,0.741,0.390,0.497
7,384.615,0.736,0.727,0.318,0.502
7,386.288,0.810,0.762,0.286,0.551
7,387.960,0.755,0.792,0.231,0.486
7,389.632,0.726,0.788,0.194,0.461
7,391.304,0.629,0.759,0.163,0.431
7,392.977,0.641,0.798,0.144,0.413
7,394.649,0.591,0.828,0.134,0.385
7,396.321,0.534,0.826,0.116,0.362
7,397.993,0.425,0.835,0.113,0.272
7,399.666,0.332,0.842,0.081,0.212
7,401.338,0.288,0.774,0.082,0.291
7,403.010,0.221,0.717,0.068,0.365
7,404.682,0.160,0.616,0.098,0.381
7,406.355,0.176,0.537,0.065,0.645
7,408.027,0.170,0.443,0.055,0.406
7,409.699,0.129,0.384,0.062,0.509
7,411.371,0.094,0.312,0.044,0.363
7,413.043,0.117,0.243,0.026,0.469
7,414.716,0.097,0.220,0.031,0.398
7,416.388,0.081,0.183,0.032,0.507
7,418.060,0.090,0.160,0.058,0.491
7,419.732,0.062,0.146,0.030,0.427
7,421.405,0.080,0.123,0.045,0.571
7,423.077,0.072,0.112,0.037,0.320
7,424.749,0.071,0.092,0.030,0.340
7,426.421,0.075,0.064,0.025,0.299
8,0.000,0.690,0.748,0.379,0.236
8,1.672,0.615,0.800,0.275,0.401
8,3.344,0.607,0.752,0.279,0.590
8,5.017,0.592,0.743,0.278,0.471
8,6.689,0.705,0.720,0.426,0.445
8,8.361,0.638,0.731,0.497,0.532
8,10.033,0.659,0.732,0.434,0.408
8,11.706,0.657,0.736,0.353,0.607
8,13.378,0.776,0.771,0.272,0.536
8,15.050,0.761,0.787,0.262,0.423
8,16.722,0.686,0.847,0.217,0.469
8,18.395,0.680,0.816,0.247,0.489
8,20.067,0.642,0.799,0.155,0.447
8,21.739,0.587,0.755,0.146,0.416
8,23.411,0.469,0.754,0.111,0.610
8,25.084,0.469,0.729,0.089,0.511
8,26.756,0.344,0.744,0.078,0.437
8,28.428,0.280,0.690,0.072,0.597
8,30.100,0.184,0.652,0.068,0.485
8,31.773,0.125,0.575,0.049,0.503
8,33.445,0.109,0.491,0.048,0.460
8,35.117,0.089,0.448,0.049,0.320
8,36.789,0.065,0.386,0.048,0.295
8,38.462,0.055,0.336,0.027,0.479
8,40.134,0.052,0.276,0.030,0.278
8,41.806,0.039,0.239,0.046,0.354
8,43.478,0.020,0.195,0.028,0.390
8,45.151,0.013,0.176,0.016,0.448
8,46.823,0.040,0.155,0.023,0.378
8,48.495,0.064,0.159,0.141,0.374
8,50.167,0.206,0.122,0.219,0.476
8,51.839,0.388,0.199,0.329,0.436
8,53.512,0.470,0.267,0.414,0.517
8,55.184,0.516,0.310,0.454,0.314
8,56.856,0.594,0.346,0.512,0.586
8,58.528,0.605,0.427,0.550,0.432
8,60.201,0.575,0.456,0.612,0.490
8,61.873,0.684,0.529,0.604,0.618
8,63.545,0.574,0.597,0.606,0.563
8,65.217,0.700,0.682,0.559,0.455
8,66.890,0.713,0.699,0.623,0.350
8,68.562,0.687,0.726,0.667,0.435
8,70.234,0.683,0.767,0.715,0.699
8,71.906,0.667,0.785,0.805,0.553
8,73.579,0.751,0.814,0.755,0.406
8,75.251,0.783,0.817,0.783,0.556
8,76.923,0.690,0.895,0.744,0.436
8,78.595,0.602,0.919,0.740,0.391
8,80.268,0.610,0.941,0.686,0.468
8,81.940,0.616,0.957,0.588,0.446
8,83.612,0.549,0.934,0.481,0.348
8,85.284,0.600,0.930,0.535,0.524
8,86.957,0.628,0.905,0.588,0.531
8,88.629,0.618,0.858,0.677,0.722
8,90.301,0.554,0.840,0.631,0.411
8,91.973,0.578,0.813,0.631,0.517
8,93.645,0.588,0.793,0.697,0.550
8,95.318,0.580,0.802,0.689,0.481
8,96.990,0.701,0.800,0.686,0.580
8,98.662,0.653,0.803,0.590,0.578
8,100.334,0.712,0.766,0.539,0.413
8,102.007,0.587,0.752,0.457,0.475
8,103.679,0.678,0.765,0.389,0.449
8,105.351,0.661,0.769,0.303,0.370
8,107.023,0.694,0.809,0.243,0.355
8,108.696,0.713,0.833,0.185,0.606
8,110.368,0.666,0.845,0.164,0.425
8,112.040,0.604,0.833,0.125,0.670
8,113.712,0.416,0.812,0.123,0.886
8,115.385,0.354,0.802,0.106,0.630
8,117.057,0.310,0.751,0.191,0.565
8,118.729,0.408,0.718,0.248,0.394
8,120.401,0.428,0.686,0.341,0.325
8,122.074,0.529,0.701,0.405,0.646
8,123.746,0.518,0.670,0.332,0.400
8,125.418,0.529,0.698,0.278,0.327
8,127.090,0.588,0.772,0.244,0.240
8,128.763,0.539,0.754,0.170,0.521
8,130.435,0.534,0.796,0.152,0.357
8,132.107,0.527,0.829,0.225,0.459
8,133.779,0.538,0.826,0.277,0.383
8,135.452,0.638,0.800,0.279,0.457
8,137.124,0.632,0.786,0.250,0.484
8,138.796,0.636,0.792,0.217,0.853
8,140.468,0.611,0.785,0.155,0.627
8,142.140,0.515,0.764,0.131,0.552
8,143.813,0.473,0.748,0.133,0.562
8,145.485,0.408,0.759,0.181,0.581
8,147.157,0.443,0.730,0.250,0.388
8,148.829,0.501,0.696,0.322,0.453
8,150.502,0.532,0.696,0.323,0.481
8,152.174,0.608,0.713,0.395,0.418
8,153.846,0.606,0.672,0.432,0.610
8,155.518,0.695,0.721,0.466,0.585
8,157.191,0.673,0.704,0.488,0.606
8,158.863,0.726,0.770,0.570,0.429
8,160.535,0.718,0.762,0.662,0.370
8,162.207,0.745,0.802,0.576,0.479
8,163.880,0.725,0.864,0.505,0.400
8,165.552,0.723,0.877,0.420,0.534
8,167.224,0.755,0.907,0.401,0.458
8,168.896,0.715,0.867,0.294,0.610
8,170.569,0.721,0.872,0.243,0.395
8,172.241,0.627,0.854,0.197,0.288
8,173.913,0.571,0.908,0.166,0.400
8,175.585,0.536,0.846,0.147,0.454
8,177.258,0.455,0.862,0.122,0.433
8,178.930,0.421,0.851,0.109,0.677
8,180.602,0.410,0.849,0.101,0.332
8,182.274,0.334,0.777,0.100,0.319
8,183.946,0.281,0.741,0.093,0.359
8,185.619,0.203,0.698,0.095,0.631
8,187.291,0.174,0.623,0.127,0.630
8,188.963,0.239,0.591,0.154,0.554
8,190.635,0.242,0.533,0.115,0.517
8,192.308,0.245,0.464,0.102,0.537
8,193.980,0.216,0.444,0.095,0.420
8,195.652,0.162,0.384,0.073,0.388
8,197.324,0.157,0.347,0.069,0.370
8,198.997,0.162,0.296,0.050,0.277
8,200.669,0.125,0.270,0.032,0.314
8,202.341,0.107,0.235,0.046,0.261
8,204.013,0.113,0.217,0.141,0.282
8,205.686,0.255,0.212,0.228,0.587
8,207.358,0.470,0.239,0.333,0.395
8,209.030,0.584,0.348,0.453,0.431
8,210.702,0.535,0.439,0.482,0.417
8,212.375,0.654,0.538,0.566,0.482
8,214.047,0.644,0.573,0.629,0.370
8,215.719,0.653,0.631,0.605,0.227
8,217.391,0.693,0.670,0.625,0.094
8,219.064,0.684,0.715,0.633,0.153
8,220.736,0.703,0.741,0.691,0.070
8,222.408,0.703,0.749,0.736,0.021
8,224.080,0.721,0.813,0.676,0.047
8,225.753,0.835,0.782,0.714,0.065
8,227.425,0.678,0.790,0.745,0.046
8,229.097,0.687,0.777,0.751,0.075
8,230.769,0.840,0.770,0.811,0.026
8,232.441,0.790,0.755,0.825,0.036
8,234.114,0.733,0.783,0.683,0.047
8,235.786,0.699,0.804,0.565,0.264
8,237.458,0.713,0.778,0.475,0.533
8,239.130,0.711,0.787,0.381,0.403
8,240.803,0.663,0.764,0.317,0.245
8,242.475,0.579,0.755,0.277,0.389
8,244.147,0.612,0.705,0.248,0.481
8,245.819,0.568,0.760,0.222,0.286
8,247.492,0.553,0.782,0.166,0.168
8,249.164,0.486,0.771,0.125,0.221
8,250.836,0.439,0.793,0.130,0.056
8,252.508,0.370,0.795,0.101,0.084
8,254.181,0.267,0.767,0.087,0.085
8,255.853,0.226,0.649,0.097,0.173
8,257.525,0.260,0.598,0.212,0.230
8,259.197,0.449,0.604,0.250,0.115
8,260.870,0.559,0.654,0.377,0.102
8,262.542,0.608,0.661,0.446,0.108
8,264.214,0.626,0.723,0.503,0.041
8,265.886,0.582,0.714,0.579,0.141
8,267.559,0.607,0.715,0.618,0.055
8,269.231,0.579,0.736,0.670,0.009
8,270.903,0.661,0.770,0.562,0.004
8,272.575,0.675,0.747,0.466,0.130
8,274.247,0.723,0.755,0.405,0.074
8,275.920,0.605,0.769,0.427,0.121
8,277.592,0.769,0.753,0.449,0.040
8,279.264,0.767,0.774,0.387,0.035
8,280.936,0.805,0.760,0.378,0.065
8,282.609,0.752,0.782,0.310,0.324
8,284.281,0.732,0.753,0.375,0.430
8,285.953,0.767,0.802,0.415,0.375
8,287.625,0.832,0.756,0.423,0.512
8,289.298,0.797,0.790,0.506,0.375
8,290.970,0.728,0.814,0.538,0.498
8,292.642,0.663,0.828,0.630,0.480
8,294.314,0.704,0.801,0.635,0.529
8,295.987,0.694,0.827,0.713,0.469
8,297.659,0.647,0.793,0.621,0.414
8,299.331,0.656,0.826,0.538,0.271
8,301.003,0.689,0.783,0.446,0.457
8,302.676,0.702,0.776,0.360,0.506
8,304.348,0.775,0.748,0.331,0.784
8,306.020,0.668,0.767,0.269,0.434
8,307.692,0.638,0.756,0.235,0.243
8,309.365,0.591,0.739,0.213,0.405
8,311.037,0.637,0.792,0.175,0.366
8,312.709,0.631,0.815,0.153,0.457
8,314.381,0.496,0.755,0.125,0.637
8,316.054,0.463,0.745,0.119,0.546
8,317.726,0.417,0.757,0.109,0.499
8,319.398,0.299,0.728,0.089,0.153
8,321.070,0.281,0.687,0.089,0.032
8,322.742,0.255,0.633,0.070,0.161
8,324.415,0.186,0.574,0.088,0.074
8,326.087,0.141,0.474,0.042,0.234
8,327.759,0.106,0.408,0.053,0.085
8,329.431,0.117,0.363,0.033,0.130
8,331.104,0.037,0.279,0.035,0.045
8,332.776,0.057,0.229,0.041,0.036
8,334.448,0.069,0.216,0.044,0.089
8,336.120,0.076,0.175,0.019,0.141
8,337.793,0.054,0.139,0.028,0.019
8,339.465,0.067,0.111,0.014,0.137
8,341.137,0.079,0.114,0.011,0.015
8,342.809,0.036,0.089,0.014,0.011
8,344.482,0.045,0.077,0.010,0.047
8,346.154,0.072,0.077,0.039,0.092
8,347.826,0.048,0.055,0.011,0.199
8,349.498,0.051,0.038,0.009,0.068
8,351.171,0.047,0.036,0.034,0.078
8,352.843,0.057,0.037,0.139,0.060
8,354.515,0.254,0.064,0.295,0.030
8,356.187,0.377,0.121,0.379,0.184
8,357.860,0.451,0.245,0.435,0.004
8,359.532,0.491,0.319,0.455,0.029
8,361.204,0.485,0.362,0.512,0.074
8,362.876,0.578,0.354,0.592,0.031
8,364.548,0.630,0.433,0.501,0.033
8,366.221,0.627,0.474,0.400,0.024
8,367.893,0.702,0.548,0.380,0.076
8,369.565,0.754,0.603,0.322,0.056
8,371.237,0.767,0.641,0.274,0.205
8,372.910,0.757,0.671,0.214,0.297
8,374.582,0.758,0.663,0.176,0.064
8,376.254,0.731,0.687,0.167,0.094
8,377.926,0.610,0.750,0.138,0.034
8,379.599,0.505,0.770,0.138,0.069
8,381.271,0.505,0.801,0.150,0.063
8,382.943,0.581,0.817,0.219,0.087
8,384.615,0.547,0.815,0.186,0.017
8,386.288,0.507,0.814,0.180,0.049
8,387.960,0.533,0.863,0.144,0.005
8,389.632,0.407,0.871,0.124,0.083
8,391.304,0.375,0.813,0.093,0.094
8,392.977,0.346,0.780,0.070,0.004
8,394.649,0.232,0.755,0.058,0.033
8,396.321,0.234,0.670,0.060,0.192
8,397.993,0.180,0.588,0.063,0.434
8,399.666,0.126,0.511,0.068,0.473
8,401.338,0.146,0.422,0.038,0.428
8,403.010,0.139,0.374,0.047,0.453
8,404.682,0.121,0.321,0.047,0.612
8,406.355,0.110,0.277,0.023,0.734
8,408.027,0.119,0.255,0.036,0.477
8,409.699,0.074,0.185,0.035,0.445
8,411.371,0.058,0.189,0.014,0.554
8,413.043,0.070,0.153,0.014,0.575
8,414.716,0.061,0.166,0.031,0.395
8,416.388,0.048,0.130,0.015,0.463
8,418.060,0.050,0.106,0.018,0.229
8,419.732,0.050,0.104,0.018,0.258
8,421.405,0.056,0.086,0.003,0.451
8,423.077,0.076,0.081,0.021,0.369
8,424.749,0.039,0.065,0.042,0.562
8,426.421,0.046,0.079,0.000,0.487
9,0.000,0.683,0.684,0.288,0.375
9,1.672,0.737,0.682,0.266,0.421
9,3.344,0.813,0.692,0.195,0.287
9,5.017,0.788,0.689,0.178,0.500
9,6.689,0.657,0.730,0.161,0.467
9,8.361,0.618,0.744,0.114,0.533
9,10.033,0.520,0.729,0.101,0.279
9,11.706,0.381,0.727,0.098,0.516
9,13.378,0.307,0.700,0.106,0.468
9,15.050,0.219,0.637,0.078,0.616
9,16.722,0.225,0.581,0.087,0.469
9,18.395,0.204,0.529,0.057,0.429
9,20.067,0.176,0.467,0.043,0.284
9,21.739,0.144,0.390,0.048,0.302
9,23.411,0.119,0.346,0.065,0.496
9,25.084,0.078,0.307,0.022,0.193
9,26.756,0.049,0.244,0.026,0.471
9,28.428,0.072,0.204,0.019,0.441
9,30.100,0.030,0.182,0.027,0.432
9,31.773,0.034,0.144,0.013,0.401
9,33.445,0.066,0.127,0.015,0.404
9,35.117,0.063,0.113,0.023,0.197
9,36.789,0.089,0.104,0.028,0.243
9,38.462,0.048,0.066,0.018,0.437
9,40.134,0.053,0.066,0.026,0.395
9,41.806,0.146,0.032,0.157,0.392
9,43.478,0.214,0.032,0.252,0.426
9,45.151,0.333,0.094,0.370,0.505
9,46.823,0.319,0.151,0.426,0.515
9,48.495,0.381,0.183,0.459,0.507
9,50.167,0.514,0.292,0.504,0.559
9,51.839,0.646,0.357,0.592,0.454
9,53.512,0.614,0.421,0.648,0.312
9,55.184,0.679,0.478,0.656,0.344
9,56.856,0.746,0.554,0.727,0.553
9,58.528,0.729,0.550,0.729,0.571
9,60.201,0.643,0.578,0.747,0.485
9,61.873,0.735,0.622,0.784,0.377
9,63.545,0.837,0.659,0.773,0.451
9,65.217,0.740,0.671,0.713,0.351
9,66.890,0.764,0.660,0.731,0.513
9,68.562,0.783,0.713,0.752,0.457
9,70.234,0.683,0.742,0.728,0.327
9,71.906,0.694,0.790,0.602,0.300
9,73.579,0.721,0.801,0.539,0.019
9,75.251,0.771,0.856,0.474,0.237
9,76.923,0.755,0.859,0.383,0.180
9,78.595,0.764,0.918,0.353,0.033
9,80.268,0.681,0.896,0.316,0.134
9,81.940,0.724,0.875,0.280,0.081
9,83.612,0.728,0.821,0.238,0.075
9,85.284,0.606,0.833,0.199,0.129
9,86.957,0.554,0.811,0.172,0.120
9,88.629,0.615,0.796,0.157,0.016
9,90.301,0.514,0.790,0.135,0.113
9,91.973,0.441,0.768,0.088,0.044
9,93.645,0.414,0.691,0.168,0.149
9,95.318,0.460,0.765,0.311,0.209
9,96.990,0.563,0.731,0.397,0.472
9,98.662,0.513,0.745,0.463,0.549
9,100.334,0.548,0.738,0.524,0.443
9,102.007,0.552,0.763,0.617,0.184
9,103.679,0.603,0.762,0.650,0.057
9,105.351,0.751,0.773,0.655,0.028
9,107.023,0.688,0.810,0.643,0.011
9,108.696,0.783,0.820,0.679,0.073
9,110.368,0.897,0.868,0.711,0.172
9,112.040,0.902,0.886,0.684,0.037
9,113.712,0.869,0.843,0.736,0.122
9,115.385,0.788,0.806,0.764,0.414
9,117.057,0.734,0.819,0.695,0.448
9,118.729,0.796,0.816,0.683,0.539
9,120.401,0.744,0.823,0.709,0.741
9,122.074,0.732,0.825,0.698,0.586
9,123.746,0.657,0.843,0.709,0.665
9,125.418,0.671,0.825,0.658,0.668
9,127.090,0.682,0.809,0.717,0.356
9,128.763,0.698,0.833,0.773,0.577
9,130.435,0.746,0.816,0.710,0.701
9,132.107,0.732,0.778,0.722,0.735
9,133.779,0.761,0.788,0.714,0.622
9,135.452,0.676,0.826,0.793,0.683
9,137.124,0.702,0.815,0.783,0.440
9,138.796,0.712,0.862,0.743,0.397
9,140.468,0.673,0.836,0.616,0.441
9,142.140,0.682,0.816,0.528,0.602
9,143.813,0.593,0.836,0.459,0.496
9,145.485,0.674,0.780,0.413,0.323
9,147.157,0.577,0.807,0.348,0.380
9,148.829,0.590,0.838,0.289,0.602
9,150.502,0.572,0.783,0.265,0.575
9,152.174,0.582,0.778,0.251,0.780
9,153.846,0.634,0.782,0.216,0.456
9,155.518,0.611,0.774,0.196,0.397
9,157.191,0.590,0.755,0.165,0.410
9,158.863,0.562,0.762,0.241,0.256
9,160.535,0.621,0.796,0.305,0.362
9,162.207,0.739,0.783,0.264,0.408
9,163.880,0.716,0.843,0.227,0.403
9,165.552,0.725,0.786,0.195,0.451
9,167.224,0.606,0.788,0.162,0.389
9,168.896,0.569,0.807,0.154,0.256
9,170.569,0.527,0.786,0.128,0.527
9,172.241,0.495,0.780,0.120,0.516
9,173.913,0.410,0.810,0.112,0.373
9,175.585,0.254,0.775,0.105,0.262
9,177.258,0.210,0.706,0.068,0.553
9,178.930,0.151,0.638,0.057,0.427
9,180.602,0.160,0.549,0.058,0.466
9,182.274,0.122,0.454,0.063,0.366
9,183.946,0.094,0.387,0.050,0.772
9,185.619,0.109,0.348,0.052,0.640
9,187.291,0.089,0.321,0.029,0.326
9,188.963,0.081,0.295,0.028,0.536
9,190.635,0.066,0.225,0.028,0.381
9,192.308,0.097,0.198,0.019,0.494
9,193.980,0.090,0.202,0.026,0.317
9,195.652,0.073,0.156,0.042,0.430
9,197.324,0.059,0.145,0.013,0.349
9,198.997,0.072,0.118,0.119,0.237
9,200.669,0.203,0.096,0.188,0.338
9,202.341,0.333,0.106,0.288,0.398
9,204.013,0.447,0.147,0.445,0.495
9,205.686,0.607,0.264,0.509,0.618
9,207.358,0.616,0.348,0.513,0.314
9,209.030,0.625,0.438,0.616,0.357
9,210.702,0.622,0.492,0.491,0.398
9,212.375,0.676,0.536,0.443,0.517
9,214.047,0.649,0.594,0.333,0.452
9,215.719,0.664,0.611,0.297,0.564
9,217.391,0.698,0.655,0.376,0.329
9,219.064,0.814,0.662,0.415,0.499
9,220.736,0.786,0.657,0.380,0.521
9,222.408,0.751,0.637,0.469,0.589
9,224.080,0.777,0.651,0.475,0.394
9,225.753,0.733,0.714,0.533,0.514
9,227.425,0.783,0.792,0.577,0.336
9,229.097,0.712,0.788,0.649,0.884
9,230.769,0.783,0.792,0.652,0.599
9,232.441,0.742,0.827,0.727,0.252
9,234.114,0.744,0.790,0.728,0.122
9,235.786,0.808,0.843,0.703,0.163
9,237.458,0.765,0.828,0.603,0.088
9,239.130,0.782,0.810,0.490,0.004
9,240.803,0.644,0.803,0.392,0.122
9,242.475,0.736,0.795,0.336,0.110
9,244.147,0.814,0.762,0.438,0.007
9,245.819,0.821,0.775,0.417,0.057
9,247.492,0.851,0.789,0.441,0.043
9,249.164,0.795,0.794,0.515,0.097
9,250.836,0.740,0.824,0.547,0.112
9,252.508,0.701,0.808,0.545,0.088
9,254.181,0.593,0.827,0.547,0.066
9,255.853,0.631,0.826,0.615,0.136
9,257.525,0.641,0.781,0.593,0.179
9,259.197,0.650,0.769,0.608,0.040
9,260.870,0.661,0.760,0.580,0.042
9,262.542,0.641,0.768,0.621,0.153
9,264.214,0.602,0.781,0.727,0.101
9,265.886,0.718,0.770,0.698,0.016
9,267.559,0.702,0.756,0.720,0.071
9,269.231,0.687,0.736,0.654,0.035
9,270.903,0.621,0.724,0.534,0.056
9,272.575,0.683,0.736,0.479,0.020
9,274.247,0.600,0.776,0.413,0.105
9,275.920,0.718,0.747,0.373,0.224
9,277.592,0.693,0.710,0.332,0.064
9,279.264,0.642,0.727,0.286,0.037
9,280.936,0.573,0.772,0.242,0.001
9,282.609,0.592,0.727,0.201,0.084
9,284.281,0.546,0.730,0.178,0.028
9,285.953,0.515,0.766,0.160,0.032
9,287.625,0.483,0.780,0.129,0.060
9,289.298,0.421,0.729,0.099,0.037
9,290.970,0.368,0.711,0.089,0.011
9,292.642,0.288,0.622,0.058,0.086
9,294.314,0.184,0.574,0.066,0.028
9,295.987,0.179,0.489,0.049,0.049
9,297.659,0.151,0.423,0.040,0.228
9,299.331,0.113,0.384,0.066,0.105
9,301.003,0.174,0.332,0.183,0.046
9,302.676,0.252,0.299,0.267,0.105
9,304.348,0.412,0.337,0.343,0.138
9,306.020,0.427,0.437,0.394,0.013
9,307.692,0.501,0.491,0.462,0.083
9,309.365,0.514,0.517,0.488,0.040
9,311.037,0.543,0.529,0.509,0.144
9,312.709,0.625,0.566,0.515,0.040
9,314.381,0.782,0.625,0.589,0.007
9,316.054,0.689,0.638,0.605,0.092
9,317.726,0.780,0.688,0.672,0.066
9,319.398,0.789,0.707,0.692,0.096
9,321.070,0.775,0.733,0.653,0.114
9,322.742,0.753,0.736,0.566,0.068
9,324.415,0.822,0.712,0.492,0.087
9,326.087,0.761,0.764,0.415,0.107
9,327.759,0.758,0.750,0.340,0.020
9,329.431,0.693,0.787,0.296,0.141
9,331.104,0.609,0.765,0.223,0.029
9,332.776,0.658,0.785,0.204,0.100
9,334.448,0.586,0.826,0.158,0.046
9,336.120,0.575,0.807,0.142,0.018
9,337.793,0.539,0.780,0.111,0.040
9,339.465,0.403,0.726,0.114,0.072
9,341.137,0.322,0.675,0.090,0.001
9,342.809,0.282,0.689,0.094,0.136
9,344.482,0.243,0.631,0.062,0.006
9,346.154,0.170,0.541,0.050,0.167
9,347.826,0.167,0.464,0.123,0.091
9,349.498,0.333,0.402,0.220,0.048
9,351.171,0.442,0.435,0.330,0.183
9,352.843,0.543,0.535,0.430,0.549
9,354.515,0.661,0.555,0.519,0.458
9,356.187,0.744,0.584,0.599,0.511
9,357.860,0.718,0.646,0.597,0.441
9,359.532,0.659,0.658,0.643,0.736
9,361.204,0.605,0.668,0.660,0.636
9,362.876,0.582,0.678,0.700,0.653
9,364.548,0.523,0.634,0.737,0.508
9,366.221,0.554,0.702,0.723,0.396
9,367.893,0.739,0.747,0.801,0.576
9,369.565,0.666,0.800,0.666,0.556
9,371.237,0.713,0.813,0.539,0.448
9,372.910,0.658,0.830,0.456,0.667
9,374.582,0.635,0.866,0.389,0.487
9,376.254,0.699,0.866,0.326,0.402
9,377.926,0.600,0.807,0.265,0.337
9,379.599,0.657,0.788,0.228,0.387
9,381.271,0.580,0.815,0.202,0.434
9,382.943,0.565,0.825,0.156,0.489
9,384.615,0.585,0.816,0.123,0.480
9,386.288,0.467,0.822,0.130,0.427
9,387.960,0.407,0.809,0.112,0.533
9,389.632,0.361,0.766,0.100,0.456
9,391.304,0.297,0.678,0.080,0.535
9,392.977,0.238,0.653,0.064,0.633
9,394.649,0.174,0.572,0.057,0.467
9,396.321,0.136,0.498,0.058,0.483
9,397.993,0.150,0.441,0.144,0.432
9,399.666,0.234,0.388,0.241,0.500
9,401.338,0.274,0.420,0.350,0.570
9,403.010,0.292,0.396,0.320,0.504
9,404.682,0.352,0.429,0.273,0.330
9,406.355,0.398,0.483,0.247,0.604
9,408.027,0.502,0.474,0.193,0.455
9,409.699,0.460,0.496,0.175,0.628
9,411.371,0.396,0.577,0.152,0.688
9,413.043,0.346,0.561,0.125,0.491
9,414.716,0.354,0.601,0.099,0.400
9,416.388,0.305,0.559,0.094,0.368
9,418.060,0.205,0.542,0.084,0.596
9,419.732,0.213,0.492,0.108,0.563
9,421.405,0.190,0.471,0.068,0.399
9,423.077,0.158,0.407,0.181,0.314
9,424.749,0.284,0.384,0.257,0.515
9,426.421,0.299,0.402,0.314,0.323
10,0.000,0.692,0.987,0.467,0.060
10,1.672,0.720,1.000,0.385,0.167
10,3.344,0.702,0.999,0.340,0.174
