strain,fluorophore,intensity
d22,yfp,1842.10020154842
d22,yfp,2090.9798084289696
d22,yfp,1755.2718899593485
d22,yfp,1639.0409063659379
d22,yfp,1924.804591134387
d22,yfp,1726.5971494551675
d22,yfp,2226.281955196177
d22,yfp,1879.6270555351591
d22,yfp,1740.8403811747658
d22,yfp,1677.658770126578
d22,yfp,1739.4550087509626
d22,yfp,1669.2634208123118
d22,yfp,1942.3959576331388
d22,yfp,1973.2602516446448
d22,yfp,1888.108984295612
d22,yfp,1762.8948655588053
d22,yfp,2018.7694114479266
d22,yfp,2123.9004232816287
d22,yfp,2011.8789538019491
d22,yfp,2147.5039864264495
d22,yfp,1721.9304592092333
d22,yfp,1831.531987006627
d22,yfp,2176.02614537609
d22,yfp,1973.224457179974
d22,yfp,1919.7799817883297
d22,yfp,2227.621431813279
d22,yfp,2111.795311350706
d22,yfp,1854.1010705366427
d22,yfp,1843.2811178453378
d22,yfp,1866.5270650745388
d22,yfp,1859.3623387695852
d22,yfp,2115.0945509670655
d22,yfp,2290.8159562970345
d22,yfp,1889.2881528952378
d22,yfp,2056.5203079694497
d22,yfp,1448.8818837630106
d22,yfp,1487.8998395731123
d22,yfp,1709.6165957309847
d22,yfp,1767.521849809527
d22,yfp,1908.3291366423855
d22,yfp,1754.38201994471
d22,yfp,2050.9084266764735
d22,yfp,1679.9397200761177
d22,yfp,1775.8505253046364
d22,yfp,1725.1250597299886
d22,yfp,1851.8767459567975
d22,yfp,2022.5665210707305
d22,yfp,1849.0657000750257
d22,yfp,1668.0925552359986
d22,yfp,1784.0491247098996
d22,yfp,1820.0055234213346
d22,yfp,2042.5581485839155
d22,yfp,2402.8328646473356
d22,yfp,1649.2346159514418
d22,yfp,2047.9556232739694
d22,yfp,1700.4372223289831
d22,yfp,1750.3733211354124
d22,yfp,1960.0539889683237
d22,yfp,1807.2615186371652
d22,yfp,1835.3358965545021
d22,yfp,1639.4343746122506
d22,yfp,1830.5472028083848
d22,yfp,1871.1504329593017
d22,yfp,1894.4226425100173
d22,yfp,1722.1533150735565
d22,yfp,1663.0198052057021
d22,yfp,1583.9314595250098
d22,yfp,1872.246777897629
d22,yfp,1915.4238668686453
d22,yfp,1826.1928228369163
d22,yfp,1612.3002474667446
d22,yfp,1831.714458146712
d22,yfp,2260.680034447474
d22,yfp,1845.81601413143
d22,yfp,1697.4891097767795
d22,yfp,1852.2484474369173
d22,yfp,1871.1506139416304
d22,yfp,1699.9395479111136
d22,yfp,1901.1975843270654
d22,yfp,1563.2293299653138
d22,yfp,1561.1330293158544
d22,yfp,1737.577518061881
d22,yfp,1868.8677665592288
d22,yfp,1753.1037911005362
d22,yfp,1908.2123830058727
d22,yfp,2050.864472001526
d22,yfp,1776.5242850199684
d22,yfp,1459.4527723559943
d22,yfp,1717.2547561513857
d22,yfp,1792.4803989828858
d22,yfp,1489.2711593238303
d22,yfp,1571.5671939301644
d22,yfp,2228.243388579509
d22,yfp,1985.3380166547147
d22,yfp,1964.9933619933142
d22,yfp,1696.4299632056177
d22,yfp,1652.2419274374922
d22,yfp,1692.8021600586585
d22,yfp,1632.7775986595784
d22,yfp,1616.1958260684848
d22,yfp,2008.278952701303
d22,yfp,1840.2400425250862
d22,yfp,1861.3152617328403
d22,yfp,1783.2497591300653
d22,yfp,2394.696152316389
d22,yfp,1821.531831866017
d22,yfp,1561.242344655292
d22,yfp,1672.669253467019
d22,yfp,1659.3029314895794
d22,yfp,1959.7231102840717
d22,yfp,1554.6379853209464
